제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
서울하늘아래, 1996년 11월 11일 ~ 1996년 12월 31일, 37부작, 드라마, MBC,, 김재덕," 남능미, 김창완, 길용우, 박경순 외",1996-11-11 00:00:00
그대아직도꿈꾸고있는가, 2003년 3월 3일 ~ 2003년 9월 20일, 168부작, 텔레비전 드라마, 문화방송, 엠비씨씨앤아이, 박지현," 배종옥, 조민기, 설수진, 김철기 외",2003-03-03 00:00:00
파일럿, 1993년 9월 13일 ~ 1993년 11월 2일, 16부작, 드라마, MBC TV, MBC 애드컴," 이순자, 이선미 (작가) ", 아래 참고,1993-09-13 00:00:00
남자대탐험, 1996년 6월 12일 ~ 1996년 8월 1일, 16부작, 드라마, SBS,, 한준영," 변우민, 정하완, 김남주 (배우), 임상아 외",1996-06-12 00:00:00
봉선화, 1984년 7월 28일 ~ 1984년 12월 30일, 46부작, 드라마, KBS2, , 남지연, ,1984-07-28 00:00:00
갈수없는나라, 1987년 8월 17일 ~ 1987년 8월 25일, 4부작, 텔레비전 드라마, 문화방송, , 이일목," 이호재, 오혜림, 한애경, 이경호 외",1987-08-17 00:00:00
옛사랑의그림자, 1998년 2월 25일 ~ 1998년 3월 19일, 8부작," 드라마, 멜로", SBS TV,, 김도우 (작가)," 김주승, 옥소리, 방은희 외",1998-02-25 00:00:00
도둑의아내, 1991년 3월 6일 ~ 1991년 4월 4일, 10부작, 드라마, 한국방송공사,, 윤명혜," 정애리, 선우은숙, 강태기, 김용건 외",1991-03-06 00:00:00
힘내요미스터김, 2012년 11월 5일 ~ 2013년 4월 26일, 124부작, 텔레비전 드라마, KBS 1TV, , 조정주 ," 김동완 (가수), 왕지혜, 양진우, 최정윤 외",2012-11-05 00:00:00
소원을말해봐, 2014년 6월 23일 ~ 2015년 1월 2일, 122부작, 텔레비전 드라마, MBC TV, 김현정 신영이엔씨, 박언희," 오지은 (배우), 기태영, 유호린 외",2014-06-23 00:00:00
동의보감, 1991년 11월 4일 ~ 1991년 12월 17일, 14부작, 텔레비전 드라마, 문화방송, , 이상현 ," 서인석 (배우), 이순재, 김용림, 최불암 외",1991-11-04 00:00:00
산하, 1987년 7월 6일 ~ 1987년 7월 28일, 8부작, 텔레비전 드라마, 문화방송, , 정하연," 이영후, 김은영, 김자옥, 박은수 외",1987-07-06 00:00:00
미세스캅2, 2016년 3월 5일 ~ 2016년 5월 8일, 20부작," 수사물, 범죄, 서스펜스", SBS," 안형조, 윤석규 주식회사 지담, 소금빛미디어", 황주하, 김성령김범임슬옹손담비이준혁 (1972년)김희찬,2016-03-05 00:00:00
홍길동,, 16부작," 액션, 드라마, 로맨스", SBS TV,, 이한호," 김석훈, 김원희",unknown
작별, 1994년 6월 13일 ~ 1994년 12월 27일, 57부작, 드라마, SBS, 삼화프로덕션, 김수현 (작가)," 한진희, 윤여정, 장용 (배우) 외",1994-06-13 00:00:00
세상에서제일예쁜내딸, 2019년 3월 23일 ~ 2019년 9월 22일, 108부작,, KBS 2TV," 오성민, 곽홍석, 최혁진 지앤지프로덕션, 미디어그룹 테이크투", 조정선," 김해숙, 김소연 (배우), 홍종현 (배우), 유선 (배우) 외",2019-03-23 00:00:00
아버지처럼살기싫었어, 2001년 9월 15일 ~ 2002년 2월 24일, 48부작, 드라마, KBS 2TV, , 최윤정 (1968년)," 이종원 (배우), 한고은, 정준 (배우), 이민영 (배우) 외",2001-09-15 00:00:00
무인시대, 2003년 2월 8일 ~ 2004년 8월 15일, 158부작, 사극, KBS1, , 유동윤, 서인석 (배우)박용우이민우 (배우)정태우박준규 (배우)김형일 (배우)김명국 (배우)김동현 (1950년)추상미유혜정 (배우)김성령김규철김병세최상훈선동혁김주영 (1952년)윤승원 (배우)정영숙김종결김성겸김성원 (배우)김인태 (배우)박병호 (배우)임혁김윤경 (1949년)김갑수 (배우)이덕화김흥기,2003-02-08 00:00:00
하얀거짓말, 2008년 12월 1일 ~ 2009년 7월 10일, 159부작, 텔레비전 드라마, 문화방송, MBC C&I 김정호, 조은정 ," 신은경 (배우), 김혜숙 (배우), 김유석, 진태현, 임지은 외",2008-12-01 00:00:00
자매들, 1993년 10월 18일 ~ 1994년 4월 9일, 142부작, 텔레비전 드라마, 문화방송, 엠비씨씨앤아이, 이홍구 ," 양미경, 정동환, 이주경, 남성훈 외",1993-10-18 00:00:00
아버지가이상해, 2017년 3월 4일 ~ 2017년 8월 27일, 52부작," 가족, 휴머니즘", KBS 2TV," 정훈탁, 황기용 IHQ"," 이정선 (작가), 임진아"," 김영철 (배우), 김해숙, 류수영, 이유리, 이준 (배우), 정소민 외",2017-03-04 00:00:00
우리들의넝쿨, 1995년 4월 5일 ~ 1995년 5월 11일, 12부작, 드라마, 서울방송, 삼화프로덕션, 지상학," 김세준, 임채원, 김정균 (배우), 정혜영, 남성진",1995-04-05 00:00:00
제3병원, 2012년 9월 5일 ~ 2012년 11월 8일, 20부작," 메디컬, 로맨스", tvN," 태원 엔터테인먼트 정태원, 최현묵", 성진미 ," 김승우, 오지호 (배우), 김민정 (배우), 수영 (가수) 외",2012-09-05 00:00:00
KBS드라마스페셜,,,, KBS 2TV, KBS 드라마본부,,,unknown
K-팝최강서바이벌, 2012년 3월 19일 ~ 2012년 5월 1일, 14부작, 텔레비전 드라마, 채널A, 조윤정, 문선희," 고은아, 박유환, 이시강, 홍경민 외",2012-03-19 00:00:00
모정의강, 1997년 11월 3일 ~ 1998년 5월 2일, , 드라마, 한국방송공사,, 김혜린," 박지영 (1969년), 김혜선 (배우), 이창훈, 허준호 외",1997-11-03 00:00:00
게임의여왕, 2006년 11월 18일 ~ 2007년 1월 28일, 20부작, 복수극, SBS, , 이유진," 주진모 (1974년), 이보영 (배우), 최준용 (배우), 수현 (배우) 외",2006-11-18 00:00:00
수호천사, 2001년 8월 1일 ~ 2001년 9월 20일, 16부작, 텔레비전 드라마 텔레비전 드라마, SBS TV, , 이희명," 김민종, 송혜교, 김민 (1973년), 윤다훈 외",2001-08-01 00:00:00
왕가네식구들, 2013년 8월 31일 ~ 2014년 2월 16일, 50부작, 드라마 · 연속극, KBS 2TV," 셀트리온 엔터테인먼트 (구 드림 E&M) 경명철, 박재삼", 문영남," 장용 (배우), 김해숙, 조성하 (배우), 오현경 (1970년), 이태란, 오만석 (1974년), 이윤지, 한주완 외",2013-08-31 00:00:00
청춘의덫, 1978년 8월 19일 ~ 1978년 11월 5일, 20부작, 텔레비전 드라마, 문화방송, , 김수현 (작가)," 이효춘, 이정길 (1944년), 박근형, 김영애 외",1978-08-19 00:00:00
두여자의방, 2013년 8월 5일 ~  2014년 1월 17일, 119부작, 텔레비전 드라마 · 연속극, SBS, SBS, 설경은 ," 박은혜 (배우), 왕빛나,  강지섭, 강경준 외",2013-08-05 00:00:00
아들과딸, 1992년 10월 3일 ~ 1993년 5월 9일 (본방)1998년 1월 5일 ~ 1998년 4월 8일 (재방송), 64부작, 드라마, 문화방송,, 박진숙," 김희애, 최수종, 채시라, 오연수 외",1992-10-03 00:00:00
남자의향기, 2003년 5월 14일 ~ 2003년 7월 10일, 18부작, 텔레비전 드라마, MBC TV, 이찬규," 고동률, 도현정"," 안재모, 한다감, 김정현 (1976년), 정찬 (배우), 김태연 (배우) 외",2003-05-14 00:00:00
"북경,내사랑", 2004년 5월 10일 ~ 2004년 7월 13일, 20부작, 텔레비전 드라마, KBS 2TV. 중국중앙텔레비전, 코바인터내셔널, 김균태," 김재원, 쑨페이페이 (배우), 한채영 등",2004-05-10 00:00:00
내이름은김삼순," 2005년 6월 1일 ~ 2005년 7월 21일 (본방)
2007년 3월 2일 ~ 2007년 6월 22일 (재방)", 16부작, 로맨틱 코미디 드라마 드라마음악, MBC TV, , 김도우 (작가)," 김선아, 현빈, 정려원, 다니엘 헤니 외",2005-06-01 00:00:00
사랑의방식, 1993년 3월 15일 ~ 1993년 5월 4일, 16부작, 텔레비전 드라마, 문화방송, , 이윤택 ," 이영하 (배우), 이미연 (배우), 홍학표, 정한용 외",1993-03-15 00:00:00
학교2, 1999년 5월 8일 ~ 2000년 2월 27일, 42부작 + 스페셜 1부작, 드라마, 한국방송공사, KBS 드라마본부," 이향희 (작가), 진수완, 김지우 (작가), 구선경, 김윤영"," 김래원, 기태영, 김민주 (배우), 추소영, 재희, 
김흥수 (배우), 황윤미, 고호경, 김민희 (1982년), 하지원, 
명계남, 박광정, 이창훈 (배우), 양정아 외",1999-05-08 00:00:00
엘레지, 1995년 10월 9일 ~ 1996년 3월 23일, 138부작, 드라마, SBS,, 박현주 (작가)," 이미숙, 강문영, 김병세, 임동진, 이효정 (1961년) 외",1995-10-09 00:00:00
넝쿨째굴러온당신, 2012년 2월 25일 ~ 2012년 9월 9일, 58부작," 가족, 로맨스, 코미디, 풍자", KBS 2TV," 로고스필름 이장수, 박민엽", 박지은 (작가) ," 김남주 (배우), 유준상 (배우), 윤여정 외",2012-02-25 00:00:00
온에어, 2008년 3월 5일 ~ 2008년 5월 15일, 21부작, 전문직 드라마, SBS TV, 김동경, 김은숙 (작가)," 김하늘, 박용하, 이범수, 송윤아 외",2008-03-05 00:00:00
남자는외로워, 1994년 1월 8일 ~ 1994년 8월 28일, 68부작, 드라마, KBS 2TV, , 나연숙," 이영후, 강부자, 김을동, 백일섭 외",1994-01-08 00:00:00
막돼먹은영애씨4, 2008년 9월 5일 ~ 2008년 12월 19일, 16부작, 텔레비전 드라마, tvN,  CJ E&M 방송사업부문," 임수미, 한설희"," 김현숙 (희극인), 정다혜 (1985년) 외",2008-09-05 00:00:00
지워진여자, 1990년 2월 28일 ~ 1990년 3월 22일, 8부작, 드라마, 한국방송공사,, 김지수 (작가)," 이경진, 이영하, 정한용, 김혜수, 김성일 (배우) 외",1990-02-28 00:00:00
아스팔트사나이, 1995년 5월 17일 ~ 1995년 7월 6일, 16부작," 드라마, 멜로", SBS(구 서울방송),, 박현주 (작가)," 이병헌, 정우성, 최진실, 허준호, 이영애",1995-05-17 00:00:00
밀월, 1991년 5월 8일 ~ 1991년 5월 30일, 8부작, 드라마, 한국방송공사,, 홍영희," 김미정, 강석우, 박찬환, 선우용여 외",1991-05-08 00:00:00
파리의연인, 2004년 6월 12일 ~ 2004년 8월 15일, 20부작, 로맨스, SBS TV, 이찬규 캐슬인더스카이," 김은숙 (작가), 강은정"," 박신양, 김정은 (배우), 이동건 외",2004-06-12 00:00:00
여명의눈동자," 1991년 10월 7일 ~ 1992년 2월 6일 (본방송)
1992년 11월 28일 ~ 1993년 2월 27일 (재방송)", 36부작, 텔레비전 드라마, MBC TV, 이강훈, 송지나 ," 채시라, 박상원, 최재성 (배우) 외",1991-10-07 00:00:00
위대한유산, 2006년 5월 3일 ~ 2006년 6월 29일, 17부작, 텔레비전 드라마, KBS 제2TV, ," 이숙진, 김태희 "," 김재원 (배우), 한지민, 이미숙, 김지훈 (1981년) 외",2006-05-03 00:00:00
주홍글씨, 2010년 8월 9일 ~ 2011년 4월 1일, 165부작, 텔레비전 드라마, 문화방송, 김정호 MBC 프로덕션, 김지수 (작가)," 이승연, 김연주 (배우), 김영호 (배우), 조연우 외",2010-08-09 00:00:00
살다보면, 1998년 3월 16일 ~ 1998년 8월 28일, 116부작, 드라마, 한국방송공사,," 박지현 (1~82회)
호영옥, 이현재 (83~116회)"," 주현, 나문희, 김영란 (배우), 임채무 외",1998-03-16 00:00:00
막돼먹은영애씨2, 2007년 9월 7일 ~ 2007년 12월 21일, 16부작, 텔레비전 드라마, tvN,  CJ E&M 방송사업부문," 박민정, 한설희"," 김현숙 (희극인), 정다혜 (1985년) 외",2007-09-07 00:00:00
막돼먹은영애씨14, 2015년 8월 10일 ~ 2015년 10월 5일, 17부작, 텔레비전 드라마, tvN,  CJ E&M 방송사업부문," 명수현, 한설희, 백선우, 최보림", 김현숙 (희극인) 외,2015-08-10 00:00:00
사람의집, 1999년 4월 5일 ~ 1999년 10월 15일, , 드라마, KBS 제1TV,, 박진숙," 최수종, 채시라, 고두심, 남능미 외",1999-04-05 00:00:00
해뜰날, 1992년 3월 2일 ~ 1992년 9월 11일, , 텔레비전 드라마, KBS 2TV, , 이관우 (작가) , ,1992-03-02 00:00:00
왕꽃선녀님, 2004년 6월 7일 ~ 2005년 2월 11일, 174부작, 드라마, 문화방송, 한국방송제작단 노동렬, 임성한 → 김나현," 이다해, 김성민 (1973년), 김혜선 (배우) 외",2004-06-07 00:00:00
"사랑해,울지마", 2008년 11월 17일 ~ 2009년 5월 22일, 132부작, 텔레비전 드라마, MBC, 팬엔터테인먼트 송재준, 박정란," 이유리, 이정진 외",2008-11-17 00:00:00
집으로가는길, 2009년 1월 12일 ~ 2009년 6월 26일, 120부작, 텔레비전 드라마, KBS 1TV,," 이금림 (1회~35회)
최형자, 박지숙 (36회~120회)"," 박근형, 반효정, 장용 (배우), 윤여정
심형탁, 조여정, 이상우 (배우), 장신영 외",2009-01-12 00:00:00
귀부인, 2014년 1월 13일 ~ 2014년 7월 4일, 114부작, 드라마 · 연속극, JTBC, 드라마하우스앤드제이콘텐트허브, 호영옥," 서지혜, 박정아 (연예인), 현우성, 정성운  外",2014-01-13 00:00:00
영웅반란, 1997년 8월 18일 ~ 1997년 9월 2일, 6부작, 드라마, MBC, , 박예랑," 차인표, 권용운, 윤손하, 최윤영 (1975년)",1997-08-18 00:00:00
네꿈을펼쳐라, 1999년 3월 6일 ~ 2000년 2월 27일, 52부작, 드라마, 한국교육방송공사,, 박범수," 김진이 (배우), 김영현, 이인혜, 주상욱, 주호성, 김승환, 최지나 등",1999-03-06 00:00:00
리멤버, 2002년 9월 18일 ~ 2002년 10월 31일, 14부작, 드라마, 문화방송, 삼화프로덕션, 박찬홍," 박정철, 김승수 (배우), 손태영, 추소영",2002-09-18 00:00:00
풀잎마다이슬, 1986년 7월 5일 ~ 1986년 12월 14일, 42부작, 텔레비전 드라마, 문화방송,, 김상열," 한인수, 김윤경, 윤재미, 김자옥 외",1986-07-05 00:00:00
춘자네경사났네, 2008년 5월 19일 ~ 2008년 11월 13일, 111부작, 텔레비전 드라마, MBC, , 구현숙," 고두심, 서지혜, 주상욱 외",2008-05-19 00:00:00
화려한시절, 2001년 11월 3일 ~ 2002년 4월 21일, 50부작, 드라마, SBS, , 노희경," 지성 (배우), 박선영 (1976년 배우), 류승범, 공효진 외",2001-11-03 00:00:00
별난여자별난남자, 2005년 9월 26일 ~ 2006년 5월 19일, 170부작, 드라마, 한국방송공사, , 이덕재 (작가)," 김아중, 정준 (배우), 고주원, 김성은 (1983년)",2005-09-26 00:00:00
코리아게이트, 1995년 10월 21일 ~ 1995년 12월 23일, 20부작, 정치드라마, SBS,, 이영신," 독고영재, 고두심, 유인촌 외",1995-10-21 00:00:00
순옥이, 2006년 11월 6일 ~ 2007년 4월 28일, 150부작, 드라마, KBS 1TV, , 황순영," 최자혜, 황동주, 도한, 박혜영 외",2006-11-06 00:00:00
강력반, 2011년 3월 7일 ~ 2011년 4월 26일, 16부작," 범죄, 수사, 서스펜스", KBS 제2TV(지상파)," 뉴데이픽쳐스, 드림스타컴퍼니 허동우, 권정우"," 박성진, 허지영"," 송일국, 이종혁 (배우), 송지효, 박선영 (1976년 배우), 선우선, 김선경 (1968년), 성지루, 김준 (가수), 장항선 (배우), 박용수 (배우)",2011-03-07 00:00:00
이웃집여자, 1997년 7월 5일 ~ 1997년 11월 9일, 38부작, 드라마, SBS TV,, 허숙," 유호정, 김상중 외",1997-07-05 00:00:00
이제사랑은끝났다, 2006년 1월 31일 ~ 2006년 7월 14일, 130부작, 드라마, MBC," 디지털돔, 배한천", 김지수 (작가)," 오세정 (배우), 구본승, 박탐희, 김영재 (배우) 외",2006-01-31 00:00:00
일단뜨겁게청소하라, 2018년 11월 26일 ~ 2019년 2월 4일, 16부작," 드라마, 멜로", JTBC," 드라마하우스, 오형제 ", 한희정," 윤균상, 김유정 (배우), 송재림 외",2018-11-26 00:00:00
사랑한다말해줘, 2004년 2월 25일 ~ 2004년 4월 14일, 15부작, 드라마, MBC, 이진석 제이에스픽쳐스, 김규완 (작가)," 김래원, 염정아, 윤소이, 김성수 (1973년) 외",2004-02-25 00:00:00
야망의전설, 1998년 4월 4일 ~ 1998년 10월 25일, 59부작, 시대극, KBS 2TV,," 최완규, 김명호"," 채시라, 유동근, 최수종, 염정아 외",1998-04-04 00:00:00
아내가돌아왔다, 2009년 11월 2일 ~ 2010년 4월 16일, 116부작, 일일드라마, SBS," 황금소나무, 에이스컴퍼니 이현석, 김훈재", 이혜선 김상면," 강성연, 조민기, 윤세아, 박정철 외",2009-11-02 00:00:00
연개소문, 2006년 7월 8일 ~ 2007년 6월 17일, 100부작, 대하사극, SBS TV," DSP 미디어, 문정수, 김양", 이환경 , 유동근이태곤 (배우)손태영이세은안재모이주현최종환이진우최재성 (배우)조상구안승훈원석연신동훈정흥채김병세윤승원 (배우)이효정 (1961년)장항선 (배우)박규채김성겸정동환박인환 (배우)이정길 (1944년)김갑수 (배우)서인석 (배우),2006-07-08 00:00:00
억새바람, 1992년 11월 23일 ~ 1993년 1월 12일, 16부작, 드라마, MBC, , 조소혜," 이영하 (배우), 김미숙, 조경환 (1945년), 윤동환 외",1992-11-23 00:00:00
일년에열두남자, 2012년 2월 15일 ~ 2012년 4월 5일, 16부작, 텔레비전 드라마, tvN," LDV MEDIA, HMG 엔터테인먼트홍시현", 황조윤 ," 윤진서, 고준희, 온주완, 이용우 (배우) 외",2012-02-15 00:00:00
신부일기, 1975년 6월 2일 ~ 1976년 2월 28일, , 드라마, MBC, , 김수현," 최불암, 김혜자, 김자옥 외",1975-06-02 00:00:00
열아홉순정, 2006년 5월 22일 ~ 2007년 1월 12일, 167부작, 드라마, KBS 1TV, , 구현숙," 구혜선, 이민우 (배우), 서지석, 이윤지, 추소영 외",2006-05-22 00:00:00
